,eff,name,type,time,OK
0,,tran_SchGtKffTtVtTeg90,Sch,Fri May 29 18:19:47 2026,True
1,,tran_SchGtKssTtVtTeg90,Sch,Fri May 29 18:19:47 2026,True
2,,tran_SchGtKttTtVtTeg90,Sch,Fri May 29 18:19:47 2026,True
3,88.00534,tran_SchGtKffTtVtTeg80,Sch,Fri May 29 18:19:47 2026,False
4,88.04178,tran_SchGtKssTtVtTeg80,Sch,Fri May 29 18:19:47 2026,False
5,88.98047,tran_SchGtKttTtVtTeg80,Sch,Fri May 29 18:19:46 2026,False
6,87.89125,tran_SchGtKffTtVtTeg70,Sch,Fri May 29 18:19:46 2026,False
7,88.27819,tran_SchGtKssTtVtTeg70,Sch,Fri May 29 18:19:46 2026,False
8,88.87756999999999,tran_SchGtKttTtVtTeg70,Sch,Fri May 29 18:19:46 2026,False
9,87.2991,tran_SchGtKffTtVtTeg60,Sch,Fri May 29 18:19:46 2026,False
10,88.18726,tran_SchGtKssTtVtTeg60,Sch,Fri May 29 18:19:46 2026,False
11,88.42655,tran_SchGtKttTtVtTeg60,Sch,Fri May 29 18:19:46 2026,False
12,86.17269,tran_SchGtKffTtVtTeg50,Sch,Fri May 29 18:19:46 2026,False
13,87.38672,tran_SchGtKssTtVtTeg50,Sch,Fri May 29 18:19:45 2026,False
14,87.82703,tran_SchGtKttTtVtTeg50,Sch,Fri May 29 18:19:45 2026,False
15,83.83264,tran_SchGtKffTtVtTeg40,Sch,Fri May 29 18:19:45 2026,False
16,86.11995,tran_SchGtKssTtVtTeg40,Sch,Fri May 29 18:19:45 2026,False
17,86.45127000000001,tran_SchGtKttTtVtTeg40,Sch,Fri May 29 18:19:44 2026,False
18,78.81199,tran_SchGtKffTtVtTeg30,Sch,Fri May 29 18:19:44 2026,False
19,82.84926,tran_SchGtKssTtVtTeg30,Sch,Fri May 29 18:19:44 2026,False
20,82.90147,tran_SchGtKttTtVtTeg30,Sch,Fri May 29 18:19:44 2026,False
21,63.80629,tran_SchGtKffTtVtTeg20,Sch,Fri May 29 18:19:44 2026,False
22,73.312,tran_SchGtKssTtVtTeg20,Sch,Fri May 29 18:19:44 2026,False
23,73.19878,tran_SchGtKttTtVtTeg20,Sch,Fri May 29 18:19:44 2026,False
