,eff,name,type,time,OK
0,0.7819454,tran_SchGtKttmmTtVtTeg40_29,Sch,Sat May 23 10:00:03 2026,True
1,0.7916571,tran_SchGtKttmmTtVtTeg40_28,Sch,Sat May 23 10:00:02 2026,False
2,0.7974101,tran_SchGtKttmmTtVtTeg40_27,Sch,Sat May 23 10:00:01 2026,False
3,0.7950035,tran_SchGtKttmmTtVtTeg40_26,Sch,Sat May 23 10:00:00 2026,False
4,0.7915874,tran_SchGtKttmmTtVtTeg40_25,Sch,Sat May 23 09:59:59 2026,False
5,0.7932492,tran_SchGtKttmmTtVtTeg40_24,Sch,Sat May 23 09:59:59 2026,False
6,0.7949578,tran_SchGtKttmmTtVtTeg40_23,Sch,Sat May 23 09:59:58 2026,False
7,0.7942753,tran_SchGtKttmmTtVtTeg40_22,Sch,Sat May 23 09:59:57 2026,False
8,0.795518,tran_SchGtKttmmTtVtTeg40_21,Sch,Sat May 23 09:59:56 2026,False
9,0.7946183,tran_SchGtKttmmTtVtTeg40_20,Sch,Sat May 23 09:59:55 2026,False
10,0.7925778,tran_SchGtKttmmTtVtTeg40_19,Sch,Sat May 23 09:59:54 2026,False
11,0.7931664,tran_SchGtKttmmTtVtTeg40_18,Sch,Sat May 23 09:59:53 2026,False
12,0.7937769,tran_SchGtKttmmTtVtTeg40_17,Sch,Sat May 23 09:59:52 2026,False
13,0.794493,tran_SchGtKttmmTtVtTeg40_16,Sch,Sat May 23 09:59:52 2026,False
14,0.7916816,tran_SchGtKttmmTtVtTeg40_15,Sch,Sat May 23 09:59:51 2026,False
15,0.7900625,tran_SchGtKttmmTtVtTeg40_14,Sch,Sat May 23 09:59:49 2026,False
16,0.7917282,tran_SchGtKttmmTtVtTeg40_13,Sch,Sat May 23 09:59:49 2026,False
17,0.7980362,tran_SchGtKttmmTtVtTeg40_12,Sch,Sat May 23 09:59:47 2026,False
18,0.7923878,tran_SchGtKttmmTtVtTeg40_11,Sch,Sat May 23 09:59:46 2026,False
19,0.794333,tran_SchGtKttmmTtVtTeg40_10,Sch,Sat May 23 09:59:46 2026,False
20,0.7929515,tran_SchGtKttmmTtVtTeg40_9,Sch,Sat May 23 09:59:42 2026,False
21,0.7882198,tran_SchGtKttmmTtVtTeg40_8,Sch,Sat May 23 09:59:39 2026,True
22,0.7897611,tran_SchGtKttmmTtVtTeg40_7,Sch,Sat May 23 09:59:38 2026,True
23,0.7935846,tran_SchGtKttmmTtVtTeg40_6,Sch,Sat May 23 09:59:37 2026,False
24,0.7933656,tran_SchGtKttmmTtVtTeg40_5,Sch,Sat May 23 09:59:36 2026,False
25,0.7877946,tran_SchGtKttmmTtVtTeg40_4,Sch,Sat May 23 09:59:35 2026,True
26,0.791868,tran_SchGtKttmmTtVtTeg40_3,Sch,Sat May 23 09:59:34 2026,False
27,0.7926582,tran_SchGtKttmmTtVtTeg40_2,Sch,Sat May 23 09:59:33 2026,False
28,0.794325,tran_SchGtKttmmTtVtTeg40_1,Sch,Sat May 23 09:59:32 2026,False
29,0.794381,tran_SchGtKttmmTtVtTeg40,Sch,Sat May 23 09:59:32 2026,False
