,voff,name,type,time,OK
0,-1.9900999999999998,tran_SchGtKfsTlVh,Sch,Fri May 29 17:48:03 2026,True
1,1.0029,tran_SchGtKsfTlVh,Sch,Fri May 29 17:47:52 2026,True
2,1.0024000000000002,tran_SchGtKffTlVh,Sch,Fri May 29 17:47:26 2026,True
3,1.0146,tran_SchGtKssTlVh,Sch,Fri May 29 17:47:01 2026,True
4,1.0021,tran_SchGtKfsThVh,Sch,Fri May 29 17:46:53 2026,True
5,1.0013,tran_SchGtKsfThVh,Sch,Fri May 29 17:46:28 2026,True
6,1.0011,tran_SchGtKffThVh,Sch,Fri May 29 17:46:04 2026,True
7,1.0028000000000001,tran_SchGtKssThVh,Sch,Fri May 29 17:45:38 2026,True
8,1.0105,tran_SchGtKfsTlVl,Sch,Fri May 29 17:45:14 2026,True
9,1.0035,tran_SchGtKsfTlVl,Sch,Fri May 29 17:44:47 2026,True
10,1.003,tran_SchGtKffTlVl,Sch,Fri May 29 17:44:23 2026,True
11,1.0159,tran_SchGtKssTlVl,Sch,Fri May 29 17:44:01 2026,True
12,-4.9972,tran_SchGtKfsThVl,Sch,Fri May 29 17:43:38 2026,True
13,-73.99759999999999,tran_SchGtKsfThVl,Sch,Fri May 29 17:43:15 2026,False
14,1.0016,tran_SchGtKffThVl,Sch,Fri May 29 17:42:50 2026,True
15,1.0036,tran_SchGtKssThVl,Sch,Fri May 29 17:42:33 2026,True
