,voff,name,type,time,OK
0,-4.9969,tran_SchGtKttmmTtVt_29,Sch,Fri May 29 17:37:00 2026,True
1,19.0036,tran_SchGtKttmmTtVt_28,Sch,Fri May 29 17:37:00 2026,True
2,7.0035,tran_SchGtKttmmTtVt_27,Sch,Fri May 29 17:37:00 2026,True
3,-4.9963999999999995,tran_SchGtKttmmTtVt_26,Sch,Fri May 29 17:36:59 2026,True
4,10.0033,tran_SchGtKttmmTtVt_25,Sch,Fri May 29 17:36:59 2026,True
5,1.0029,tran_SchGtKttmmTtVt_24,Sch,Fri May 29 17:36:59 2026,True
6,1.0031,tran_SchGtKttmmTtVt_23,Sch,Fri May 29 17:36:59 2026,True
7,16.0027,tran_SchGtKttmmTtVt_22,Sch,Fri May 29 17:36:59 2026,True
8,1.0035,tran_SchGtKttmmTtVt_21,Sch,Fri May 29 17:36:58 2026,True
9,4.0028,tran_SchGtKttmmTtVt_20,Sch,Fri May 29 17:36:58 2026,True
10,1.0039,tran_SchGtKttmmTtVt_19,Sch,Fri May 29 17:36:58 2026,True
11,4.0035,tran_SchGtKttmmTtVt_18,Sch,Fri May 29 17:36:58 2026,True
12,-7.9968,tran_SchGtKttmmTtVt_17,Sch,Fri May 29 17:36:58 2026,True
13,10.0033,tran_SchGtKttmmTtVt_16,Sch,Fri May 29 17:36:57 2026,True
14,-1.9963,tran_SchGtKttmmTtVt_15,Sch,Fri May 29 17:36:57 2026,True
15,10.003,tran_SchGtKttmmTtVt_14,Sch,Fri May 29 17:36:57 2026,True
16,-7.9966,tran_SchGtKttmmTtVt_13,Sch,Fri May 29 17:36:57 2026,True
17,13.003,tran_SchGtKttmmTtVt_12,Sch,Fri May 29 17:36:57 2026,True
18,7.003,tran_SchGtKttmmTtVt_11,Sch,Fri May 29 17:36:56 2026,True
19,10.003,tran_SchGtKttmmTtVt_10,Sch,Fri May 29 17:36:56 2026,True
20,-7.996899999999999,tran_SchGtKttmmTtVt_9,Sch,Fri May 29 17:36:56 2026,True
21,7.0029,tran_SchGtKttmmTtVt_8,Sch,Fri May 29 17:36:56 2026,True
22,1.0027,tran_SchGtKttmmTtVt_7,Sch,Fri May 29 17:36:56 2026,True
23,7.0029,tran_SchGtKttmmTtVt_6,Sch,Fri May 29 17:36:56 2026,True
24,25.002799999999997,tran_SchGtKttmmTtVt_5,Sch,Fri May 29 17:36:55 2026,False
25,-7.9962,tran_SchGtKttmmTtVt_4,Sch,Fri May 29 17:36:55 2026,True
26,13.0026,tran_SchGtKttmmTtVt_3,Sch,Fri May 29 17:36:55 2026,True
27,-1.9973,tran_SchGtKttmmTtVt_2,Sch,Fri May 29 17:36:55 2026,True
28,-1.9967000000000001,tran_SchGtKttmmTtVt_1,Sch,Fri May 29 17:36:55 2026,True
29,-1.9966,tran_SchGtKttmmTtVt,Sch,Fri May 29 17:36:54 2026,True
