,f,r,name,type,time,OK
0,27263.86,5.262873,tran_SchGtKttmmTtVt_29,Sch,Mon Apr 20 09:16:02 2026,False
1,28367.46,5.495222,tran_SchGtKttmmTtVt_28,Sch,Mon Apr 20 09:16:02 2026,False
2,28416.37,5.51229,tran_SchGtKttmmTtVt_27,Sch,Mon Apr 20 09:16:02 2026,False
3,26991.63,5.230215,tran_SchGtKttmmTtVt_26,Sch,Mon Apr 20 09:16:02 2026,False
4,27925.13,5.399949,tran_SchGtKttmmTtVt_25,Sch,Mon Apr 20 09:16:02 2026,False
5,28684.03,5.556534,tran_SchGtKttmmTtVt_24,Sch,Mon Apr 20 09:16:02 2026,False
6,28299.58,5.432077,tran_SchGtKttmmTtVt_23,Sch,Mon Apr 20 09:16:02 2026,False
7,27662.56,5.425624,tran_SchGtKttmmTtVt_22,Sch,Mon Apr 20 09:16:02 2026,False
8,27838.26,5.424561,tran_SchGtKttmmTtVt_21,Sch,Mon Apr 20 09:16:02 2026,False
9,29006.34,5.594041,tran_SchGtKttmmTtVt_20,Sch,Mon Apr 20 09:16:02 2026,False
10,26251.18,5.028367,tran_SchGtKttmmTtVt_19,Sch,Mon Apr 20 09:16:02 2026,False
11,26388.65,5.09211,tran_SchGtKttmmTtVt_18,Sch,Mon Apr 20 09:16:02 2026,False
12,27747.79,5.323265,tran_SchGtKttmmTtVt_17,Sch,Mon Apr 20 09:16:02 2026,False
13,29490.31,5.735746,tran_SchGtKttmmTtVt_16,Sch,Mon Apr 20 09:16:02 2026,False
14,27734.87,5.34183,tran_SchGtKttmmTtVt_15,Sch,Mon Apr 20 09:16:02 2026,False
15,27119.96,5.248103,tran_SchGtKttmmTtVt_14,Sch,Mon Apr 20 09:16:02 2026,False
16,27952.48,5.436659,tran_SchGtKttmmTtVt_13,Sch,Mon Apr 20 09:16:02 2026,False
17,29137.88,5.686275,tran_SchGtKttmmTtVt_12,Sch,Mon Apr 20 09:16:02 2026,False
18,27127.12,5.171017,tran_SchGtKttmmTtVt_11,Sch,Mon Apr 20 09:16:02 2026,False
19,27629.57,5.325617,tran_SchGtKttmmTtVt_10,Sch,Mon Apr 20 09:16:01 2026,False
20,27959.81,5.378703,tran_SchGtKttmmTtVt_9,Sch,Mon Apr 20 09:16:01 2026,False
21,28293.05,5.464159,tran_SchGtKttmmTtVt_8,Sch,Mon Apr 20 09:16:01 2026,False
22,27591.1,5.317576,tran_SchGtKttmmTtVt_7,Sch,Mon Apr 20 09:16:01 2026,False
23,27889.06,5.327185,tran_SchGtKttmmTtVt_6,Sch,Mon Apr 20 09:16:01 2026,False
24,27275.65,5.232923,tran_SchGtKttmmTtVt_5,Sch,Mon Apr 20 09:16:01 2026,False
25,27510.95,5.287838,tran_SchGtKttmmTtVt_4,Sch,Mon Apr 20 09:16:01 2026,False
26,28095.03,5.453187,tran_SchGtKttmmTtVt_3,Sch,Mon Apr 20 09:16:01 2026,False
27,27068.32,5.279486,tran_SchGtKttmmTtVt_2,Sch,Mon Apr 20 09:16:01 2026,False
28,28556.15,5.533772,tran_SchGtKttmmTtVt_1,Sch,Mon Apr 20 09:16:01 2026,False
29,27252.84,5.137557,tran_SchGtKttmmTtVt,Sch,Mon Apr 20 09:16:01 2026,False
