,vref,v1,v2,name,type,time,OK
0,0.4335289,0.1494891,0.2840398,tran_SchGtKttmmTtVt_29,Sch,Fri Feb  6 17:04:46 2026,False
1,0.4349288,0.1513446,0.2835842,tran_SchGtKttmmTtVt_28,Sch,Fri Feb  6 17:04:41 2026,False
2,0.4357102,0.1522859,0.2834243,tran_SchGtKttmmTtVt_27,Sch,Fri Feb  6 17:04:38 2026,False
3,0.4376448,0.154462,0.2831828,tran_SchGtKttmmTtVt_26,Sch,Fri Feb  6 17:04:34 2026,False
4,0.4331905,0.1491065,0.284084,tran_SchGtKttmmTtVt_25,Sch,Fri Feb  6 17:04:31 2026,False
5,0.4352992,0.1516071,0.2836921,tran_SchGtKttmmTtVt_24,Sch,Fri Feb  6 17:04:28 2026,False
6,0.4350568,0.1517429,0.2833139,tran_SchGtKttmmTtVt_23,Sch,Fri Feb  6 17:04:25 2026,False
7,0.4422472,0.1590221,0.2832251,tran_SchGtKttmmTtVt_22,Sch,Fri Feb  6 17:04:21 2026,False
8,0.4369408,0.1540846,0.2828562,tran_SchGtKttmmTtVt_21,Sch,Fri Feb  6 17:04:15 2026,False
9,0.4412661,0.1579816,0.2832845,tran_SchGtKttmmTtVt_20,Sch,Fri Feb  6 17:04:11 2026,False
10,0.4330121,0.1496744,0.2833377,tran_SchGtKttmmTtVt_19,Sch,Fri Feb  6 17:04:08 2026,False
11,0.4320719,0.1483008,0.2837711,tran_SchGtKttmmTtVt_18,Sch,Fri Feb  6 17:04:05 2026,False
12,0.4410886,0.1581432,0.2829454,tran_SchGtKttmmTtVt_17,Sch,Fri Feb  6 17:04:02 2026,False
13,0.4340616,0.1504145,0.2836471,tran_SchGtKttmmTtVt_16,Sch,Fri Feb  6 17:03:59 2026,False
14,0.4271752,0.143092,0.2840832,tran_SchGtKttmmTtVt_15,Sch,Fri Feb  6 17:03:56 2026,False
15,0.4320673,0.1487444,0.2833229,tran_SchGtKttmmTtVt_14,Sch,Fri Feb  6 17:03:52 2026,False
16,0.4396323,0.1568453,0.282787,tran_SchGtKttmmTtVt_13,Sch,Fri Feb  6 17:03:49 2026,False
17,0.4303416,0.1469997,0.2833419,tran_SchGtKttmmTtVt_12,Sch,Fri Feb  6 17:03:46 2026,False
18,0.4404102,0.1572127,0.2831975,tran_SchGtKttmmTtVt_11,Sch,Fri Feb  6 17:03:42 2026,False
19,0.445517,0.1626917,0.2828253,tran_SchGtKttmmTtVt_10,Sch,Fri Feb  6 17:03:39 2026,False
20,0.4290891,0.1449628,0.2841263,tran_SchGtKttmmTtVt_9,Sch,Fri Feb  6 17:03:34 2026,False
21,0.4436357,0.1605631,0.2830726,tran_SchGtKttmmTtVt_8,Sch,Fri Feb  6 17:03:29 2026,False
22,0.4365148,0.1525069,0.2840079,tran_SchGtKttmmTtVt_7,Sch,Fri Feb  6 17:03:26 2026,False
23,0.4353511,0.1518561,0.283495,tran_SchGtKttmmTtVt_6,Sch,Fri Feb  6 17:03:23 2026,False
24,0.4340913,0.1503534,0.2837379,tran_SchGtKttmmTtVt_5,Sch,Fri Feb  6 17:03:19 2026,False
25,0.4338954,0.1498554,0.28404,tran_SchGtKttmmTtVt_4,Sch,Fri Feb  6 17:03:16 2026,False
26,0.4318893,0.1480558,0.2838335,tran_SchGtKttmmTtVt_3,Sch,Fri Feb  6 17:03:13 2026,False
27,0.4343424,0.1509006,0.2834418,tran_SchGtKttmmTtVt_2,Sch,Fri Feb  6 17:03:09 2026,False
28,0.437854,0.1544968,0.2833572,tran_SchGtKttmmTtVt_1,Sch,Fri Feb  6 17:03:05 2026,False
29,0.441213,0.1579902,0.2832228,tran_SchGtKttmmTtVt,Sch,Fri Feb  6 17:03:02 2026,False
